Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2022-01-01,449.910003662109,84.4499969482422,65.9199981689453,39.060001373291,100.73999786377,161.970001220703,75.9700012207031,47.3400001525879,69.25,131.229995727539,184.949996948242
2022-02-01,436.630004882813,83.379997253418,70.5800018310547,38.5200004577637,99.8899993896485,154.070007324219,74.9000015258789,45.0699996948242,67.9300003051758,129.960006713867,177.429992675781
2022-03-01,451.640014648438,88.1500015258789,76.4400024414063,38.3199996948242,102.980003356934,158.929992675781,75.8899993896484,48.3199996948242,74.4599990844727,136.990005493164,185
2022-04-01,412,85.0299987792969,75.1500015258789,34.5099983215332,95.1399993896484,141.419998168945,77.6399993896484,46.5999984741211,71.2600021362305,130.289993286133,162.880004882813
2022-05-01,412.929992675781,86.0299987792969,87.1999969482422,35.4700012207031,94.6999969482422,140.449996948242,74.4700012207031,44.2200012207031,74.3300018310547,132.229995727539,154.539993286133
2022-06-01,377.25,73.5999984741211,71.5100021362305,31.4500007629395,87.3399963378906,127.120002746582,72.1800003051758,40.8600006103516,70.129997253418,128.240005493164,137.479995727539
2022-07-01,411.989990234375,78.129997253418,78.4199981689453,33.7099990844727,95.6399993896484,144.220001220703,74.4899978637695,44.3400001525879,73.9499969482422,132.399993896484,162.830001831055
2022-08-01,395.179992675781,75.4100036621094,80.5,33.0499992370606,92.9300003051758,135.259994506836,73.1100006103516,41.8499984741211,74.3399963378906,124.76000213623,155.509994506836
2022-09-01,357.179992675781,68.0100021362305,72.0199966430664,30.3600006103516,82.8399963378906,118.779998779297,66.7300033569336,36.0099983215332,65.5100021362305,121.110000610352,142.449996948242
2022-10-01,386.209991455078,74.0800018310547,90,33.9799995422363,94.3499984741211,127.870002746582,72.7399978637695,36.7299995422363,66.7799987792969,132.75,144.029998779297
2022-11-01,407.679992675781,82.75,91.1500015258789,36.310001373291,101.720001220703,135.960006713867,77.1900024414063,39.2400016784668,71.4300003051758,139.020004272461,146.169998168945
2022-12-01,382.429992675781,77.6800003051758,87.4700012207031,34.2000007629395,98.2099990844727,124.440002441406,74.5500030517578,36.9300003051758,70.5,135.850006103516,129.160003662109
